日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA60,DIF,DEA,MACD,K,D,J,RSI,量比
2026-03-26,600196,25.39,25.29,25.65,25.24,142379,362177037.0,1.62,-0.28,-0.07,0.67,,,,,0.0,0.0,0.0,,,,,
2026-03-27,600196,25.2,26.13,26.18,25.12,227422,588886171.0,4.19,3.32,0.84,1.07,,,,,0.06700854700854819,0.013401709401709639,0.10721367521367711,,,,,
2026-03-30,600196,26.09,26.66,26.72,25.9,324332,858794408.0,3.14,2.03,0.53,1.53,,,,,0.16102369298950592,0.04292610611926889,0.23619517374047405,,,,,
2026-03-31,600196,26.71,26.63,27.18,26.6,294973,792779894.0,2.18,-0.11,-0.03,1.39,,,,,0.23045409291203,0.08043170347782111,0.3000447788684178,,,,,
2026-04-01,600196,26.94,27.07,27.15,26.51,288363,776515470.0,2.4,1.65,0.44,1.36,26.356,,,,0.31732458751899983,0.12781028028605684,0.379028614465886,,,,,
2026-04-02,600196,27.02,27.06,27.35,26.83,320875,870021748.0,1.92,-0.04,-0.01,1.51,26.71,,,,0.38097156092879914,0.17844253641460533,0.4050580490283876,,,,,1.2559013173705194
2026-04-03,600196,26.73,26.7,26.95,26.62,195764,523933929.0,1.22,-1.33,-0.36,0.92,26.824,,,,0.3977779183190542,0.2223096127954951,0.35093661104711815,,,,,0.672282644156968
2026-04-07,600196,26.88,26.68,27.0,26.32,167632,448342146.0,2.55,-0.07,-0.02,0.79,26.827999999999996,,,,0.40481676905707076,0.25881104404781025,0.292011450018521,,,,,0.5884686377304892
2026-04-08,600196,26.96,26.8,27.04,26.5,213667,571511709.0,2.02,0.45,0.12,1.01,26.862000000000002,,,,0.4152908912129867,0.29010701348084555,0.25036775546428225,75.33632286995513,75.33632286995513,75.33632286995513,,0.8427967027635537
2026-04-09,600196,26.64,26.56,27.0,26.46,182252,486076649.0,2.01,-0.9,-0.24,0.86,26.759999999999998,26.558,,,0.399619153401094,0.3120094414648953,0.17521942387239742,71.74887892376677,74.14050822122567,66.96562032884896,,0.7681524334886339
2026-04-10,600196,26.52,26.48,26.77,26.39,153613,407903019.0,1.43,-0.3,-0.08,0.73,26.644,26.677,,,0.3764048955325059,0.3248885322784174,0.10303272650817696,61.1659192825112,69.81564524165418,43.86646736422523,,0.7110462048343347
2026-04-13,600196,26.33,26.35,26.54,26.18,124640,328478671.0,1.36,-0.49,-0.13,0.59,26.574,26.699,,,0.343557201811727,0.32862226618507934,0.02986987125329532,45.620584364979024,61.75062494942914,13.360503196078781,,0.682638718496968
2026-04-14,600196,26.33,26.46,26.46,26.01,167254,438075119.0,1.71,0.42,0.11,0.79,26.53,26.678999999999995,,,0.3226815762263655,0.32743412819333656,-0.009505103933942105,41.60775276073227,55.03633421986352,14.750589842469765,,0.9934260231597855
2026-04-15,600196,26.91,26.8,27.09,26.55,309835,830374746.0,2.04,1.28,0.34,1.46,26.53,26.695999999999998,,,0.3297712533178796,0.32790155321824516,0.003739400199268883,47.3902431340205,52.487637191249185,37.19545501956314,73.23076923076923,1.8411304143204512
2026-04-16,600196,26.87,26.7,26.87,26.61,158259,422524212.0,0.97,-0.37,-0.1,0.75,26.558,26.659,,,0.32359055869364894,0.327039354313326,-0.006897591239354073,52.889791718976596,52.62168870049166,53.42599775594647,71.04477611940295,0.8439633786052385
2026-04-17,600196,26.6,26.15,26.6,26.07,203199,533013913.0,1.99,-2.06,-0.55,0.96,26.492,26.568,,,0.2711858485613483,0.31586865316293045,-0.08936560920316428,39.580848800305304,48.27474206709621,22.193062266723487,50.3267973856209,1.1120773729450821
