日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2026-01-22,27.25,-0.55,-37585118.0,-7.86,-41387271.0,-8.65,3802153.0,0.79,39081339.0,8.17,-1496222.0,-0.31
2026-01-23,27.57,1.17,23346231.0,4.04,14807165.0,2.56,8539066.0,1.48,19255004.0,3.33,-42601234.0,-7.37
2026-01-26,28.16,2.14,60372411.0,5.48,17363387.0,1.58,43009024.0,3.9,20160848.0,1.83,-80533248.0,-7.31
2026-01-27,27.68,-1.7,1750058.0,0.21,-8363751.0,-1.0,10113809.0,1.21,18562956.0,2.23,-20313019.0,-2.44
2026-01-28,26.96,-2.6,-77525282.0,-9.39,-96700049.0,-11.71,19174767.0,2.32,61156404.0,7.4,16368878.0,1.98
2026-01-29,27.12,0.59,-62934597.0,-8.1,-14037260.0,-1.81,-48897337.0,-6.3,12142561.0,1.56,50792037.0,6.54
2026-01-30,26.67,-1.66,-17813872.0,-3.17,-1486218.0,-0.26,-16327654.0,-2.91,7339334.0,1.31,10474537.0,1.87
2026-02-02,26.25,-1.57,-47379879.0,-10.1,-35971659.0,-7.67,-11408220.0,-2.43,21443056.0,4.57,25936824.0,5.53
2026-02-03,26.34,0.34,-25727321.0,-5.7,-24394072.0,-5.41,-1333249.0,-0.3,34831370.0,7.72,-9104050.0,-2.02
2026-02-04,26.64,1.14,2997422.0,0.78,-14754812.0,-3.84,17752234.0,4.63,-1061169.0,-0.28,-1936253.0,-0.5
2026-02-05,26.6,-0.15,-21289947.0,-6.86,-24246597.0,-7.81,2956650.0,0.95,12091473.0,3.89,9198474.0,2.96
2026-02-06,26.68,0.3,11193274.0,3.29,17926829.0,5.27,-6733555.0,-1.98,-8724718.0,-2.56,-2468556.0,-0.73
