日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-26,600196,25.39,25.29,25.65,25.24,142379,362177037.0,1.62,-0.28,-0.07,0.67
2026-03-27,600196,25.2,26.13,26.18,25.12,227422,588886171.0,4.19,3.32,0.84,1.07
2026-03-30,600196,26.09,26.66,26.72,25.9,324332,858794408.0,3.14,2.03,0.53,1.53
2026-03-31,600196,26.71,26.63,27.18,26.6,294973,792779894.0,2.18,-0.11,-0.03,1.39
2026-04-01,600196,26.94,27.07,27.15,26.51,288363,776515470.0,2.4,1.65,0.44,1.36
2026-04-02,600196,27.02,27.06,27.35,26.83,320875,870021748.0,1.92,-0.04,-0.01,1.51
2026-04-03,600196,26.73,26.7,26.95,26.62,195764,523933929.0,1.22,-1.33,-0.36,0.92
2026-04-07,600196,26.88,26.68,27.0,26.32,167632,448342146.0,2.55,-0.07,-0.02,0.79
2026-04-08,600196,26.96,26.8,27.04,26.5,213667,571511709.0,2.02,0.45,0.12,1.01
2026-04-09,600196,26.64,26.56,27.0,26.46,182252,486076649.0,2.01,-0.9,-0.24,0.86
2026-04-10,600196,26.52,26.48,26.77,26.39,153613,407903019.0,1.43,-0.3,-0.08,0.73
2026-04-13,600196,26.33,26.35,26.54,26.18,124640,328478671.0,1.36,-0.49,-0.13,0.59
2026-04-14,600196,26.33,26.46,26.46,26.01,167254,438075119.0,1.71,0.42,0.11,0.79
2026-04-15,600196,26.91,26.8,27.09,26.55,309835,830374746.0,2.04,1.28,0.34,1.46
2026-04-16,600196,26.87,26.7,26.87,26.61,158259,422524212.0,0.97,-0.37,-0.1,0.75
2026-04-17,600196,26.6,26.15,26.6,26.07,203199,533013913.0,1.99,-2.06,-0.55,0.96
2026-04-20,600196,26.08,25.87,26.12,25.79,150972,391140915.0,1.26,-1.07,-0.28,0.71
2026-04-21,600196,25.87,25.63,26.05,25.53,134746,345728389.0,2.01,-0.93,-0.24,0.64
2026-04-22,600196,25.65,25.59,25.82,25.48,176432,451986734.0,1.33,-0.16,-0.04,0.83
2026-04-23,600196,25.67,25.57,25.83,25.48,156610,401413949.0,1.37,-0.08,-0.02,0.74
2026-04-24,600196,25.66,25.38,25.67,25.26,122440,311197942.0,1.6,-0.74,-0.19,0.58
2026-04-27,600196,25.3,25.37,25.41,25.22,115903,293407475.0,0.75,-0.04,-0.01,0.55
2026-04-28,600196,25.5,25.3,25.89,25.2,246744,629713102.0,2.72,-0.28,-0.07,1.16
2026-04-29,600196,25.46,25.28,25.66,25.06,251895,637134722.0,2.37,-0.08,-0.02,1.19
2026-04-30,600196,25.27,24.89,25.27,24.89,276406,690482370.0,1.5,-1.54,-0.39,1.3
2026-05-06,600196,24.83,24.77,24.96,24.68,235099,582101765.0,1.12,-0.48,-0.12,1.11
2026-05-07,600196,24.79,24.73,24.97,24.66,207069,512504019.0,1.25,-0.16,-0.04,0.98
2026-05-08,600196,24.77,24.82,24.9,24.7,194754,482879013.0,0.81,0.36,0.09,0.92
2026-05-11,600196,24.96,25.39,25.42,24.83,395057,993455517.0,2.38,2.3,0.57,1.86
2026-05-12,600196,25.3,25.32,25.62,24.96,310544,783216625.0,2.6,-0.28,-0.07,1.47
2026-05-13,600196,25.18,24.97,25.26,24.93,194695,486950240.0,1.3,-1.38,-0.35,0.92
2026-05-14,600196,25.02,24.5,25.18,24.5,216529,536387712.0,2.72,-1.88,-0.47,1.02
2026-05-15,600196,24.48,24.13,24.62,24.03,189185,460003080.0,2.41,-1.51,-0.37,0.89
2026-05-18,600196,24.09,24.06,24.1,23.77,141763,339315138.0,1.37,-0.29,-0.07,0.67
2026-05-19,600196,24.02,24.19,24.24,23.99,104478,252278400.0,1.04,0.54,0.13,0.49
2026-05-20,600196,24.1,24.02,24.25,23.95,109702,263956538.0,1.24,-0.7,-0.17,0.52
2026-05-21,600196,24.06,23.71,24.38,23.68,196034,471592781.0,2.91,-1.29,-0.31,0.93
2026-05-22,600196,23.78,23.4,23.85,23.3,214305,504530257.0,2.32,-1.31,-0.31,1.01
2026-05-25,600196,23.37,23.3,23.48,23.08,149513,347333653.0,1.71,-0.43,-0.1,0.71
2026-05-26,600196,23.24,23.17,23.36,23.08,115736,268403270.0,1.2,-0.56,-0.13,0.55
2026-05-27,600196,23.18,23.32,23.5,22.76,227542,525613200.0,3.19,0.65,0.15,1.07
2026-05-28,600196,23.21,22.75,23.35,22.64,164019,375309008.0,3.04,-2.44,-0.57,0.77
2026-05-29,600196,22.77,23.25,23.6,22.77,261665,607323399.0,3.65,2.2,0.5,1.24
2026-06-01,600196,23.26,22.99,23.6,22.91,250491,581874987.0,2.97,-1.12,-0.26,1.18
2026-06-02,600196,22.95,22.72,23.02,22.65,187444,426840517.0,1.61,-1.17,-0.27,0.88
2026-06-03,600196,22.64,22.18,22.77,22.12,246386,548584201.0,2.86,-2.38,-0.54,1.16
2026-06-04,600196,22.2,21.82,22.28,21.68,183953,402688593.0,2.71,-1.62,-0.36,0.87
2026-06-05,600196,22.09,22.02,22.28,21.99,163752,362446324.0,1.33,0.92,0.2,0.77
2026-06-08,600196,21.81,21.65,22.17,21.45,161094,350677031.0,3.27,-1.68,-0.37,0.76
2026-06-09,600196,21.66,21.83,21.86,21.38,115178,249611904.0,2.22,0.83,0.18,0.54
2026-06-10,600196,21.77,22.11,22.15,21.7,153772,338322279.0,2.06,1.28,0.28,0.73
2026-06-11,600196,22.0,21.78,22.15,21.67,158037,345261226.0,2.17,-1.49,-0.33,0.75
2026-06-12,600196,21.85,22.36,22.43,21.69,193665,429776314.0,3.4,2.66,0.58,0.91
2026-06-15,600196,22.35,22.31,22.56,22.17,167995,374577601.0,1.74,-0.22,-0.05,0.79
2026-06-16,600196,22.31,21.85,22.31,21.85,167196,368133026.0,2.06,-2.06,-0.46,0.79
2026-06-17,600196,21.8,21.58,21.95,21.48,183188,396373635.0,2.15,-1.24,-0.27,0.86
2026-06-18,600196,21.53,21.79,22.08,21.25,202986,441771815.0,3.85,0.97,0.21,0.96
2026-06-22,600196,21.7,22.06,22.08,21.05,238774,513386303.0,4.73,1.24,0.27,1.13
2026-06-23,600196,22.04,22.26,22.78,21.95,318056,713713074.0,3.76,0.91,0.2,1.5
2026-06-24,600196,22.35,22.5,22.87,22.21,334057,754563795.0,2.96,1.08,0.24,1.58
2026-06-25,600196,22.18,22.18,22.48,21.62,288670,634971689.0,3.82,-1.42,-0.32,1.36
2026-06-26,600196,22.03,21.21,22.41,21.2,262912,570184987.0,5.46,-4.37,-0.97,1.24
2026-06-29,600196,21.12,22.73,22.75,20.85,513531,1140390847.0,8.96,7.17,1.52,2.42
2026-06-30,600196,22.73,22.47,22.73,22.07,346056,773149332.0,2.9,-1.14,-0.26,1.63
2026-07-01,600196,22.21,23.12,23.19,21.9,451176,1023877075.0,5.74,2.89,0.65,2.13
2026-07-02,600196,23.16,23.03,23.63,22.96,381803,886716137.0,2.9,-0.39,-0.09,1.8
2026-07-03,600196,23.2,23.29,23.53,22.92,297851,690907418.0,2.65,1.13,0.26,1.41
2026-07-06,600196,23.28,24.08,24.24,23.01,532407,1271215481.0,5.28,3.39,0.79,2.51
