序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1,600664,哈药股份,6.0,0.3344,2,2,7044906700.0,5834009100.0,1210897600.0,24066750100,5.031413028218,21.4412,151.11,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2026-07-23
2,301526,国际复材,30.84,20.0,3,2,1405490021.19,451675215.75,953814805.44,6471469116,14.738767787392,16.0606,433.11,日涨幅达到15%的前5只证券,2026-07-27
3,002281,光迅科技,187.0,9.671,4,3,1573348397.72,895938388.58,677410009.14,13424196498,5.046186632034,10.2073,1458.53,日振幅值达到15%的前5只证券,2026-07-21
4,002396,星网锐捷,34.59,9.4274,4,3,917135558.85,317448608.04,599686950.81,7349901454,8.159115527782,28.9041,261.99,日换手率达到20%的前5只证券,2026-07-22
5,002396,星网锐捷,34.59,9.4274,4,3,917135558.85,317448608.04,599686950.81,7349901454,8.159115527782,28.9041,261.99,日振幅值达到15%的前5只证券,2026-07-22
6,000938,紫光股份,44.9,8.2972,3,2,3510336226.43,2929494040.42,580842186.01,62646560401,0.927173307348,18.8045,1284.17,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
7,002281,光迅科技,170.51,-9.9974,3,3,825056950.74,466813278.34,358243672.4,8072249077,4.437966036265,5.8744,1329.91,日跌幅偏离值达到7%的前5只证券,2026-07-20
8,688728,格科微,16.9,20.0284,2,0,310595709.8,0.0,310595709.8,1164043100,26.682492237616,3.0533,422.31,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-21
9,001309,德明利,482.89,-9.9993,2,0,319503198.6,50583913.18,268919285.42,8596923130,3.128087588472,10.7594,797.1,日跌幅偏离值达到7%的前5只证券,2026-07-20
10,603459,红板科技,83.82,8.8571,2,1,289640896.94,20836200.0,268804696.94,2296098604,11.707018874177,34.8782,66.26,有价格涨跌幅限制的日换手率达到20%的前五只证券,2026-07-22
11,605196,华通线缆,29.63,9.9852,1,0,265396596.36,0.0,265396596.36,2667732373,9.948396587531,5.1914,149.62,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-07-22
12,600330,天通股份,17.39,-9.5213,1,0,258942329.65,0.0,258942329.65,6155878409,4.206423721291,8.9985,214.49,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
13,300604,长川科技,318.0,20.0,3,1,743919485.99,489663714.94,254255771.05,12047998281,2.110356966526,8.4748,1556.52,日涨幅达到15%的前5只证券,2026-07-21
14,600711,盛屯矿业,11.26,6.3267,1,0,247988853.22,0.0,247988853.22,5810511262,4.267935161606,6.5017,348.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-07-23
15,301583,托伦斯,145.0,-8.6384,5,3,495919475.53,265855008.0,230064467.53,2644986535,8.698133789554,55.718,44.71,日换手率达到30%的前5只证券,2026-07-23
16,002432,九安医疗,72.5,-8.4596,3,1,504812476.12,276250686.34,228561789.78,7518700489,3.039910821217,19.7353,337.32,日振幅值达到15%的前5只证券,2026-07-20
17,688146,中船特气,284.94,15.9849,1,1,335077309.69,129387270.26,205690039.43,12255737500,1.678316294144,16.6454,413.08,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2026-07-27
18,600641,先导基电,28.94,-10.0124,1,0,203640730.75,0.0,203640730.75,7447688138,2.73428112156,6.686,269.32,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-20
19,002167,东方锆业,17.1,1.4837,3,0,234775897.22,67956091.3,166819805.92,3229911011,5.164842169084,24.3402,129.74,日换手率达到20%的前5只证券,2026-07-22
20,301583,托伦斯,158.71,19.9985,2,1,246754208.6,99767526.36,146986682.24,4022449156,3.654158860423,53.9963,48.93,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-22
21,000426,兴业银锡,33.59,5.862,4,4,987100429.39,850263532.48,136836896.91,9514752466,1.438155090203,6.5654,596.29,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-23
22,603936,博敏电子,14.04,10.0313,1,0,126927836.61,0.0,126927836.61,936911576,13.547472340122,11.7598,88.51,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2026-07-21
23,603936,博敏电子,14.04,10.0313,1,0,126927836.61,0.0,126927836.61,936911576,13.547472340122,11.7598,88.51,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,2026-07-21
24,300779,惠城环保,69.12,20.0,3,2,318487793.63,194791767.76,123696025.87,3483074689,3.551345776783,11.5082,157.02,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-07-22
25,300806,斯迪克,53.69,-15.9912,4,2,382655893.06,260406182.91,122249710.15,2509484966,4.87150597857,13.2356,175.47,日振幅值达到30%的前5只证券,2026-07-20
26,002141,贤丰控股,5.21,-5.9567,5,3,239604031.0,122929283.0,116674748.0,1416649046,8.235967004632,25.5045,53.82,日换手率达到20%的前5只证券,2026-07-24
27,300534,陇神戎发,12.04,20.0399,4,3,193097026.89,78712464.48,114384562.41,1246240698,9.178368399746,37.3957,36.37,日涨幅达到15%的前5只证券,2026-07-20
28,300534,陇神戎发,12.04,20.0399,4,3,193097026.89,78712464.48,114384562.41,1246240698,9.178368399746,37.3957,36.37,日换手率达到30%的前5只证券,2026-07-20
29,688072,拓荆科技,764.46,20.0,2,1,399025300.7,293485577.73,105539722.97,8077980600,1.30651122101,4.1472,2161.07,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-07-21
30,603459,红板科技,84.09,-5.5593,2,1,153511654.76,48144674.0,105366980.76,1649938197,6.386116822532,24.0535,66.47,有价格涨跌幅限制的日换手率达到20%的前五只证券,2026-07-24
31,002396,星网锐捷,28.74,-4.0401,4,3,603468988.21,509583299.21,93885689.0,6124316746,1.532998584068,26.9087,217.68,日换手率达到20%的前5只证券,2026-07-20
32,300779,惠城环保,69.12,20.0,3,1,153052112.26,65649666.3,87402445.96,1727202706,5.060346747743,11.5082,157.02,日涨幅达到15%的前5只证券,2026-07-22
33,001258,立新能源,13.03,7.597,1,0,103597165.54,16642858.0,86954307.54,3983675959,2.182765577194,22.0823,121.61,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-24
34,603683,晶华新材,16.77,-9.9839,2,1,121091780.0,39835147.0,81256633.0,819916574,9.910353757528,16.5495,48.34,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2026-07-22
35,603683,晶华新材,16.77,-9.9839,2,1,121089917.0,39835147.0,81254770.0,800122199,10.155295041377,16.5495,48.34,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-07-22
36,002185,华天科技,16.85,-9.9893,3,3,536550211.05,456292821.48,80257389.57,7663692171,1.0472418226,13.1258,559.87,日跌幅偏离值达到7%的前5只证券,2026-07-20
37,300534,陇神戎发,13.42,20.0358,4,5,162890357.08,85107491.92,77782865.16,977501262,7.957316085798,26.289,40.54,日涨幅达到15%的前5只证券,2026-07-27
38,000815,美利云,16.19,-8.7373,3,1,160422400.15,84749160.35,75673239.8,2718983811,2.783144184009,23.6008,112.56,日换手率达到20%的前5只证券,2026-07-24
39,301583,托伦斯,132.26,19.9964,4,3,162708013.46,87879655.76,74828357.7,1415628829,5.285874105351,39.642,40.78,日涨幅达到15%的前5只证券,2026-07-21
40,301583,托伦斯,132.26,19.9964,4,3,162708013.46,87879655.76,74828357.7,1415628829,5.285874105351,39.642,40.78,日换手率达到30%的前5只证券,2026-07-21
41,600219,南山铝业,4.79,10.1149,1,0,73509777.0,0.0,73509777.0,1874502255,3.921562473661,3.5187,550.07,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2026-07-23
42,002141,贤丰控股,5.17,5.5102,4,4,281774375.67,208974539.4,72799836.27,1723458080,4.22405610643,33.3826,53.4,日换手率达到20%的前5只证券,2026-07-22
43,002141,贤丰控股,5.17,5.5102,4,4,281774375.67,208974539.4,72799836.27,1723458080,4.22405610643,33.3826,53.4,日振幅值达到15%的前5只证券,2026-07-22
44,000526,学大教育,33.0,6.5203,4,4,166505786.46,94765494.12,71740292.34,817147038,8.779361486225,9.4443,39.58,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-07-22
45,300868,杰美特,82.86,13.3051,4,1,157381886.0,88913319.0,68468567.0,819919171,8.350648383608,13.9426,66.92,日振幅值达到30%的前5只证券,2026-07-21
46,300688,创业黑马,25.01,20.0096,3,1,85830931.0,17883996.0,67946935.0,553300258,12.280300617536,15.4417,37.11,日涨幅达到15%的前5只证券,2026-07-22
47,000815,美利云,17.74,9.9814,2,0,73089901.83,7707118.0,65382783.83,2101806934,3.110789234365,17.6215,123.34,日涨幅偏离值达到7%的前5只证券,2026-07-23
